,zip_code, !!Total:, !!Total:!!Urban, !!Total:!!Rural
991,03882,1682,0,1682
992,03883,300,0,300
993,03884,4230,0,4230
994,03885,7660,4692,2968
995,03886,1977,0,1977
996,03887,2151,0,2151
997,03890,177,0,177
998,03894,6382,0,6382
999,03897,55,0,55
1000,03901,7937,2958,4979
1001,03902,2362,398,1964
1002,03903,6717,3569,3148
1003,03904,8148,6660,1488
1004,03905,1922,1245,677
1005,03906,4990,0,4990
1006,03907,1577,1436,141
1007,03908,7468,4006,3462
1008,03909,10938,6973,3965
1009,03910,116,116,0
1010,03911,307,307,0
1011,04001,2665,0,2665
1012,04002,7589,0,7589
1013,04003,363,0,363
1014,04005,24581,19366,5215
1015,04006,100,100,0
1016,04008,3047,0,3047
1017,04009,5298,0,5298
1018,04010,1631,0,1631
1019,04011,21756,17190,4566
1020,04015,3646,0,3646
1021,04017,396,0,396
1022,04019,72,0,72
1023,04020,1508,0,1508
1024,04021,6729,56,6673
1025,04022,1197,0,1197
1026,04024,572,0,572
1027,04027,6469,328,6141
1028,04029,1917,0,1917
1029,04030,2239,0,2239
1030,04032,8737,0,8737
1031,04037,3762,0,3762
1032,04038,18336,8150,10186
1033,04039,7922,0,7922
1034,04040,2853,0,2853
1035,04041,1609,0,1609
1036,04042,4745,0,4745
1037,04043,11536,8028,3508
1038,04046,7893,1927,5966
1039,04047,1791,0,1791
1040,04048,3188,0,3188
1041,04049,3892,0,3892
1042,04050,234,0,234
1043,04051,1095,0,1095
1044,04055,3925,0,3925
1045,04056,167,0,167
1046,04057,120,0,120
1047,04061,3437,0,3437
1048,04062,18464,8975,9489
1049,04063,508,508,0
1050,04064,8452,8304,148
1051,04066,579,0,579
1052,04068,1600,0,1600
1053,04069,1566,0,1566
1054,04071,4915,978,3937
1055,04072,20381,15347,5034
1056,04073,17283,12098,5185
1057,04074,21952,15257,6695
1058,04076,2927,0,2927
1059,04079,4089,0,4089
1060,04083,4699,2969,1730
1061,04084,8253,320,7933
1062,04085,1991,0,1991
1063,04086,9560,5820,3740
