zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
45429,65758,1580,85422,3121,95560,5492,35717,2138
45430,88209,6256,99135,13145,105142,8818,47656,13819
45431,62962,3187,71331,5559,83582,7899,50809,2940
45432,60414,5471,84743,8361,91484,7872,37149,5379
45433,71402,8174,74306,12937,78906,14279,48438,3771
45434,108811,10450,123936,8112,132513,8849,50746,5982
45439,44856,3640,53534,5526,66935,6074,31418,3730
45440,75632,2234,92083,3671,106901,9244,43922,6480
45449,46483,2946,56250,5989,74030,7751,32920,3429
45458,90751,4370,116997,6188,127591,6363,45017,7847
45459,75065,3739,104283,3623,114876,4587,42782,3415
45502,72906,4304,88925,5764,93534,4694,37561,6187
45503,48665,3328,62078,2844,70997,2043,30846,2321
45504,53306,5060,69113,3807,85300,4788,34739,3189
45505,34792,3077,40611,3698,66346,8411,22750,2685
45506,41950,2369,47813,4025,70250,5740,24653,4704
45601,49654,2852,62224,3702,74666,4215,28209,2660
45612,46162,4435,53895,7347,61432,10201,25673,7872
45613,47734,18396,71202,16091,76689,14840,17750,10089
45614,42721,13929,58237,11468,70583,12613,23071,12318
45616,32143,9132,42938,15270,46190,13711,21908,9446
45617,-,**,-,**,-,**,-,**
45618,-,**,-,**,-,**,-,**
45619,59954,11888,63242,11667,73421,5613,26348,5826
45620,38438,28551,59926,7209,61346,11677,30278,13616
45621,39375,33783,47000,32537,86250,67656,9671,8342
45622,19539,12316,-,**,-,**,-,**
45623,46310,12925,58879,7459,64327,9727,22167,15507
45624,-,**,-,**,-,**,-,**
45628,62699,15530,70960,12300,86126,6908,22111,7926
45629,41618,6091,71094,11243,74185,11142,19395,5363
45630,36520,13686,-,**,-,**,-,**
45631,45766,3922,62679,4812,71924,8048,28594,2391
45634,33438,10480,55223,24298,68125,15617,17171,10467
45636,68182,47992,-,**,-,**,-,**
45638,40148,4615,52246,2883,67973,2640,24724,2156
45640,48846,3854,56771,6309,67268,6011,26594,4561
45642,-,**,-,**,-,**,-,**
45644,74375,12062,92250,7776,94309,4597,27125,9790
45645,48841,10510,50452,19181,51755,22807,44861,26986
45646,36862,8579,-,**,-,**,-,**
45647,60714,12698,63040,4553,63388,8352,32314,14439
45648,42789,6328,55591,8176,79444,14209,27985,8580
45650,55938,34677,86094,51581,86094,51581,-,**
