zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
01983,93.9,6.7,1.7,23.0
01984,76.1,18.3,17.1,15.5
01985,108.6,8.9,4.7,21.1
02019,103.1,6.1,6.1,14.0
02021,91.1,5.1,4.8,18.7
02025,89.7,4.3,4.4,17.0
02026,86.8,4.8,5.6,19.3
02030,103.0,9.3,6.4,15.5
02032,109.3,9.9,1.4,14.6
02035,97.8,5.9,5.5,17.8
02038,92.9,10.0,6.1,12.8
02043,91.0,5.6,3.5,20.7
02045,86.4,4.7,4.4,24.0
02047,110.9,13.4,0.0,42.3
02048,98.9,6.6,6.1,10.9
02050,91.3,6.4,4.9,18.3
02052,99.7,7.5,4.2,13.4
02053,86.9,9.1,5.5,13.4
02054,94.2,7.1,4.6,17.9
02056,140.4,7.8,3.8,13.8
02061,94.8,8.2,3.5,17.5
02062,89.1,5.3,4.9,18.0
02066,90.3,6.1,3.3,22.6
02067,93.1,7.4,4.3,16.1
02071,609.8,5.8,8.7,10.0
02072,87.3,6.8,5.5,18.5
02081,95.3,8.2,3.8,17.0
02090,92.1,6.6,5.7,18.5
02093,106.3,6.9,4.6,14.2
02108,98.0,6.8,4.4,16.1
02109,122.5,1.0,5.7,15.3
02110,80.4,1.0,2.2,29.2
02111,91.1,11.7,10.9,13.8
02113,101.3,0.0,13.3,8.3
02114,98.6,1.8,6.6,12.9
02115,98.0,27.7,30.8,7.9
02116,83.8,8.4,8.2,16.3
02118,95.5,4.1,7.4,11.8
02119,82.6,6.3,10.0,13.4
02120,113.1,11.0,32.4,6.6
02121,88.3,6.8,7.6,12.7
02122,97.0,5.1,6.5,10.2
02124,80.6,6.5,6.5,13.2
02125,100.5,7.7,8.8,10.5
02126,84.0,6.7,5.3,13.9
02127,98.4,2.4,5.6,8.7
02128,113.1,5.0,6.5,9.0
02129,88.7,2.3,3.3,11.0
02130,85.7,3.5,5.7,13.0
02131,88.3,5.9,5.1,12.8
02132,87.7,4.2,2.7,20.5
02134,105.8,3.2,23.3,5.1
02135,94.1,2.5,13.3,12.3
02136,92.0,6.6,7.5,12.7
02138,93.3,12.2,17.1,12.8
02139,105.8,7.6,13.6,9.1
02140,94.8,4.2,8.6,12.1
02141,104.6,2.1,13.8,11.2
02142,107.9,4.2,14.7,8.1
02143,94.9,2.5,9.4,10.0
02144,97.2,2.4,14.4,10.6
02145,102.6,4.6,8.7,7.5
02148,91.8,3.3,8.2,12.7
02149,97.5,5.4,7.1,11.2
02150,106.9,5.9,6.5,9.5
02151,101.3,5.1,5.0,14.4
02152,88.3,5.4,3.4,18.0
02155,96.2,6.9,11.1,14.3
02163,93.9,18.7,15.2,0.0
02169,91.7,3.5,5.5,16.2
02170,98.3,5.0,7.7,16.1
02171,99.8,4.4,5.7,18.6
02176,85.7,5.9,6.0,17.2
02180,100.3,2.9,5.5,20.2
02184,93.7,5.3,4.9,17.0
02186,88.7,8.4,6.6,16.9
02188,97.7,5.9,5.8,20.6
02189,80.2,5.9,8.8,12.9
02190,93.8,3.7,5.9,17.5
02191,89.8,5.1,5.8,22.6
02199,66.0,0.6,5.6,21.7
02203,-,0.0,0.0,100.0
02210,138.0,0.8,6.6,7.2
02215,75.2,26.8,33.4,2.6
02301,89.0,7.2,7.5,13.1
02302,95.0,6.7,6.8,12.9
02322,90.8,4.6,3.4,14.3
02324,108.0,11.5,11.8,13.8
02330,94.5,6.0,7.1,19.8
02332,90.8,6.5,5.5,21.4
